# Matter power spectrum P(k) at redshift z=0
# for k=0.000211077 to 1.07544 h/Mpc,
# number of wavenumbers equal to 523
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.299868273422e-02       6.175969931073e+03 
       5.358813927854e-02       6.126995872228e+03 
       5.421481787698e-02       6.076773863188e+03 
       5.488368633895e-02       6.025117447019e+03 
       5.560063050949e-02       5.971712805303e+03 
       5.637265512622e-02       5.916206326196e+03 
       5.720812615595e-02       5.858429546654e+03 
       5.811705537653e-02       5.797482224818e+03 
       5.911141815305e-02       5.732919062876e+03 
       6.020547429096e-02       5.663741882575e+03 
       6.141602088197e-02       5.588665976611e+03 
       6.276243382491e-02       5.506084030027e+03 
       6.426624373645e-02       5.413626441339e+03 
       6.594986130258e-02       5.308635176383e+03 
       6.783401208258e-02       5.187557690217e+03 
       6.993368832193e-02       5.046631409104e+03 
       7.225325715670e-02       4.882608493541e+03 
       7.478266453344e-02       4.693678709088e+03 
       7.749731485831e-02       4.480806086203e+03 
       8.036268718726e-02       4.248534421767e+03 
       8.334165201108e-02       4.004524017420e+03 
       8.640085694290e-02       3.758120988294e+03 
       8.951398081153e-02       3.518932481499e+03 
       9.266206528321e-02       3.295361627057e+03 
       9.583227809891e-02       3.093570766887e+03 
       9.901628091259e-02       2.917265670639e+03 
       1.022087949468e-01       2.767666912350e+03 
       1.054065324345e-01       2.643803394216e+03 
       1.086074661241e-01       2.542976500649e+03 
       1.118103535677e-01       2.461253345987e+03 
       1.150144360071e-01       2.393855191182e+03 
       1.182192509694e-01       2.335754745296e+03 
       1.214245168072e-01       2.281978076819e+03 
       1.246300619950e-01       2.228208139697e+03 
       1.278357819925e-01       2.170975072179e+03 
       1.310416129819e-01       2.108035103400e+03 
       1.342475159011e-01       2.038409367265e+03 
       1.374534667413e-01       1.962408224772e+03 
       1.406594506549e-01       1.881424229153e+03 
       1.438654583760e-01       1.797528125387e+03 
       1.470714840470e-01       1.713284992760e+03 
       1.502775238973e-01       1.631244113805e+03 
       1.534835754393e-01       1.553706211340e+03 
       1.566896369803e-01       1.482483579688e+03 
       1.598957073235e-01       1.418869232326e+03 
       1.631017855858e-01       1.363404240022e+03 
       1.663078710867e-01       1.316020302498e+03 
       1.695139632786e-01       1.276134097903e+03 
       1.727200617048e-01       1.242685388025e+03 
       1.759261659720e-01       1.214293135818e+03 
       1.791322757339e-01       1.189483373157e+03 
       1.823383906801e-01       1.166711356464e+03 
       1.855445105284e-01       1.144795594922e+03 
       1.887506350201e-01       1.122197620074e+03 
       1.919567639166e-01       1.098004454520e+03 
